ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre,Country,Language,IMDb,IMDb_ID,RottenTomatoes_Score,Age_Min,IMDb_Score,Type_raw,Genre_clean,Title_key
31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,movie,"Biography, Drama, History","United Kingdom, Malawi, United States, Kenya","English, Nyanja, Arabic",7.6,tt7533152,89.0,7.0,7.6,0,"Biography, Drama, History",the boy who harnessed the wind
32,The Devil All the Time,2020,18+,89/100,1,0,0,0,movie,"Crime, Drama, Thriller",United States,English,7.1,tt7395114,89.0,18.0,7.1,0,"Crime, Drama, Thriller",the devil all the time
33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,movie,"Comedy, Drama",United States,English,7.3,tt2452386,89.0,18.0,7.3,0,"Comedy, Drama",the fundamentals of caring
34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,movie,Drama,"Canada, Hungary, United States",English,7.0,tt11161474,88.0,18.0,7.0,0,Drama,pieces of a woman
35,Gerald's Game,2017,18+,88/100,1,0,0,0,movie,"Drama, Horror, Thriller",United States,English,6.5,tt3748172,88.0,18.0,6.5,0,"Drama, Horror, Thriller",gerald's game
36,On Body and Soul,2017,18+,88/100,1,0,0,0,movie,"Drama, Fantasy, Mystery",Hungary,Hungarian,7.5,tt5607714,88.0,16.0,7.5,0,"Drama, Fantasy, Mystery",on body and soul
37,Shutter Island,2010,18+,88/100,1,0,0,0,movie,"Drama, Mystery, Thriller","Canada, United States","English, German",8.2,tt1130884,88.0,18.0,8.2,0,"Drama, Mystery, Thriller",shutter island
38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,movie,"Comedy, Romance",United States,English,6.7,tt7374948,88.0,13.0,6.7,0,"Comedy, Romance",always be my maybe
39,The Intouchables,2011,7+,88/100,1,0,0,0,movie,"Comedy, Drama",France,"French, English",8.5,tt1675434,88.0,7.0,8.5,0,"Comedy, Drama",the intouchables
40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,movie,Comedy,"United States, United Kingdom",English,8.0,tt10847306,87.0,18.0,8.0,0,Comedy,bill burr: paper tiger
41,Special 26,2013,18+,87/100,1,0,0,0,movie,"Crime, Drama, History",India,Hindi,8.0,tt2377938,87.0,16.0,8.0,0,"Crime, Drama, History",special 26
42,Kiss the Ground,2020,18+,87/100,1,0,0,0,movie,Documentary,United States,English,8.1,tt8618654,87.0,18.0,8.1,0,Documentary,kiss the ground
43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,movie,documentary film,United States,English,9.0,tt8923484,87.0,18.0,9.0,0,Documentary Film,crip camp: a disability revolution
44,Extraction,2020,18+,87/100,1,0,0,0,movie,"Action, Crime, Thriller","United States, India, Thailand, Australia, Canada, Bangladesh","English, Hindi, Bengali",6.8,tt8936646,87.0,18.0,6.8,0,"Action, Crime, Thriller",extraction
45,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,movie,"documentary film, rockumentary","United Kingdom, United States",English,8.4,tt0367555,87.0,16.0,8.4,0,"Documentary Film, Rockumentary",no direction home: bob dylan
46,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,movie,"Drama, Musical, Romance","India, United Kingdom","Hindi, English, Punjabi, Urdu",7.4,tt0248126,87.0,16.0,7.4,0,"Drama, Musical, Romance",kabhi khushi kabhie gham
47,His House,2020,16+,87/100,1,0,0,0,movie,"Drama, Horror, Thriller","United Kingdom, United States","English, Dinka",6.4,tt8508734,87.0,16.0,6.4,0,"Drama, Horror, Thriller",his house
48,Super Deluxe,2019,18+,87/100,1,0,0,0,movie,"Comedy, Crime, Drama",India,Tamil,8.2,tt7019942,87.0,18.0,8.2,0,"Comedy, Crime, Drama",super deluxe
49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,87.0,16.0,7.0,0,Drama Film,the guernsey literary & potato peel pie society
50,A Secret Love,2020,18+,87/100,1,0,0,0,movie,"Documentary, Biography, Drama",United States,English,7.8,tt3260524,87.0,18.0,7.8,0,"Documentary, Biography, Drama",a secret love
51,The Night Comes for Us,2018,18+,87/100,1,0,0,0,movie,"Action, Crime, Thriller","Indonesia, United States","Indonesian, English, Mandarin, French",6.9,tt6116856,87.0,18.0,6.9,0,"Action, Crime, Thriller",the night comes for us
52,The Big Lebowski,1998,18+,87/100,1,0,0,0,movie,"Comedy, Crime","United Kingdom, United States","English, German, Hebrew, Spanish",8.1,tt0118715,87.0,18.0,8.1,0,"Comedy, Crime",the big lebowski
53,Pad Man,2018,13+,87/100,1,0,0,0,movie,"Comedy, Drama","India, Hong Kong, United States",Hindi,7.9,tt7218518,87.0,13.0,7.9,0,"Comedy, Drama",pad man
