ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre,Country,Language,IMDb,IMDb_ID,RottenTomatoes_Score,Age_Min,IMDb_Score,Type_raw,Genre_clean,Title_key
1856,The Witness Who Didn't See Anything,1976,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,the witness who didn't see anything
1857,Muramba,2017,7+,53/100,1,0,0,0,movie,drama film,India,Marathi,10.0,tt7155460,53.0,7.0,10.0,0,Drama Film,muramba
1858,Hum Saath Saath Hain,1999,all,53/100,1,0,0,0,movie,"romance film, drama film, melodrama",India,Hindi,6.4,tt0216817,53.0,16.0,6.4,0,"Romance Film, Drama Film, Melodrama",hum saath saath hain
1859,Vivah,2006,18+,53/100,1,0,0,0,movie,"romance film, drama film",India,Hindi,8.0,tt0494290,53.0,16.0,8.0,0,"Romance Film, Drama Film",vivah
1860,Yeh Ballet,2020,13+,53/100,1,0,0,0,movie,drama film,India,English,7.0,tt10230436,53.0,13.0,7.0,0,Drama Film,yeh ballet
1861,Tony Parker: The Final Shot,2021,18+,53/100,1,0,0,0,movie,documentary film,France,French,6.0,tt13696668,53.0,16.0,6.0,0,Documentary Film,tony parker: the final shot
1862,Cut Throat City,2020,18+,53/100,1,0,0,0,movie,"heist film, drama film, action film",United States,English,5.0,tt3547306,53.0,18.0,5.0,0,"Heist Film, Drama Film, Action Film",cut throat city
1863,Anelka: Misunderstood,2020,16+,53/100,1,0,0,0,movie,"documentary film, association football film",France,French,6.0,tt12724622,53.0,16.0,6.0,0,"Documentary Film, Association Football Film",anelka: misunderstood
1864,Everyday I Love You,2015,18+,53/100,1,0,0,0,movie,romantic comedy,Philippines,English,10.0,tt4944460,53.0,16.0,10.0,0,Romantic Comedy,everyday i love you
1865,Bulbul Can Sing,2019,18+,53/100,1,0,0,0,movie,"drama film, LGBT-related film",India,Assamese,9.0,tt8659050,53.0,16.0,9.0,0,"Drama Film, Lgbt-Related Film",bulbul can sing
1866,Sarajevo,2014,18+,53/100,1,0,0,0,movie,drama film,"France, United Kingdom",French,10.0,tt0032384,53.0,16.0,10.0,0,Drama Film,sarajevo
1867,And Tomorrow the Entire World,2020,18+,53/100,1,0,0,0,movie,"drama film, political film","Germany, France",German,7.0,tt7716120,53.0,16.0,7.0,0,"Drama Film, Political Film",and tomorrow the entire world
1868,Funan,2019,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,funan
1869,Rising High,2020,18+,53/100,1,0,0,0,movie,"comedy film, drama film",Germany,German,9.0,tt9806336,53.0,16.0,9.0,0,"Comedy Film, Drama Film",rising high
1870,The Short Game,2013,7+,53/100,1,0,0,0,movie,"sport film, documentary film",United States,"English, French, Mandarin",7.3,tt2466830,53.0,7.0,7.3,0,"Sport Film, Documentary Film",the short game
1871,One Day We'll Talk About Today,2020,all,53/100,1,0,0,0,movie,drama film,Indonesia,Indonesian,9.0,tt10773114,53.0,16.0,9.0,0,Drama Film,one day we'll talk about today
1872,Chris Tucker Live,2015,18+,53/100,1,0,0,0,movie,drama film,United States,English,2.0,tt4835636,53.0,18.0,2.0,0,Drama Film,chris tucker live
1873,Nang Nak,1999,13+,53/100,1,0,0,0,movie,horror film,Thailand,Thai,7.0,tt0217680,53.0,13.0,7.0,0,Horror Film,nang nak
1874,Mitt,2014,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,mitt
1875,Dark Light,2019,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,dark light
1876,Lucknow Central,2017,18+,53/100,1,0,0,0,movie,"drama film, action film",India,Hindi,7.0,tt5697870,53.0,16.0,7.0,0,"Drama Film, Action Film",lucknow central
1877,Our Godfather,2019,18+,53/100,1,0,0,0,movie,documentary film,United Kingdom,English,8.0,tt10095336,53.0,16.0,8.0,0,Documentary Film,our godfather
1878,93 Days,2016,7+,53/100,1,0,0,0,movie,"drama film, legend",Nigeria,English,7.0,tt5305246,53.0,7.0,7.0,0,"Drama Film, Legend",93 days
1879,Vince & Kath & James,2016,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,vince & kath & james
1880,Dharam Sankat Mein,2015,13+,53/100,1,0,0,0,movie,comedy film,India,Hindi,8.0,tt4354740,53.0,13.0,8.0,0,Comedy Film,dharam sankat mein
1881,Secrets in the Hot Spring,2018,18+,53/100,1,0,0,0,movie,drama film,Taiwan,English,5.0,tt8587122,53.0,16.0,5.0,0,Drama Film,secrets in the hot spring
1882,Bye Bye London,1982,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,bye bye london
1883,Bheeshma,2020,18+,53/100,1,0,0,0,movie,romantic comedy,India,Telugu,6.0,tt11199356,53.0,16.0,6.0,0,Romantic Comedy,bheeshma
1884,Liberated: The New Sexual Revolution,2017,18+,53/100,1,0,0,0,movie,documentary film,"United States, Mexico",English,6.0,tt6710214,53.0,16.0,6.0,0,Documentary Film,liberated: the new sexual revolution
1885,Almost Love,2019,18+,53/100,1,0,0,0,movie,drama film,United States,English,8.0,tt8739582,53.0,16.0,8.0,0,Drama Film,almost love
1886,Stuck Apart,2021,18+,53/100,1,0,0,0,movie,"comedy film, drama film",Turkey,Turkish,8.0,tt11213372,53.0,16.0,8.0,0,"Comedy Film, Drama Film",stuck apart
1887,Late Life: The Chien-Ming Wang Story,2018,18+,53/100,1,0,0,0,movie,"documentary film, sport film","United States, Taiwan","Standard Chinese, English, Taiwanese Hokkien",10.0,tt8234502,53.0,16.0,10.0,0,"Documentary Film, Sport Film",late life: the chien-ming wang story
1888,"Justice, My Foot!",1992,7+,53/100,1,0,0,0,movie,comedy film,Hong Kong,Yue Chinese,9.0,tt0105385,53.0,7.0,9.0,0,Comedy Film,"justice, my foot!"
1889,Ginny Weds Sunny,2020,18+,53/100,1,0,0,0,movie,"romantic comedy, drama film",India,Hindi,5.0,tt10543680,53.0,16.0,5.0,0,"Romantic Comedy, Drama Film",ginny weds sunny
1890,You Are My Sunday,2016,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,you are my sunday
1891,Grandmaster,2012,18+,53/100,1,0,0,0,movie,"biographical film, drama film, action film, martial arts film","People's Republic of China, Hong Kong",Chinese,9.0,tt1462900,53.0,16.0,9.0,0,"Biographical Film, Drama Film, Action Film, Martial Arts Film",grandmaster
1892,Just Another Christmas,2020,18+,53/100,1,0,0,0,movie,"comedy film, Christmas film",Brazil,Brazilian Portuguese,9.0,tt13354204,53.0,16.0,9.0,0,"Comedy Film, Christmas Film",just another christmas
1893,7 Khoon Maaf,2011,18+,53/100,1,0,0,0,movie,"crime film, drama film, black comedy film",India,"Hindi, English, Russian",8.0,tt1629376,53.0,16.0,8.0,0,"Crime Film, Drama Film, Black Comedy Film",7 khoon maaf
1894,Class of '83,2020,16+,53/100,1,0,0,0,movie,drama film,India,Hindi,4.0,tt10306444,53.0,16.0,4.0,0,Drama Film,class of '83
1895,Duck Duck Goose,2018,7+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,7.0,7.0,0,Drama Film,duck duck goose
1896,Very Big Shot,2015,18+,53/100,1,0,0,0,movie,"crime film, drama film, comedy drama",Lebanon,Arabic,1.0,tt4971824,53.0,18.0,1.0,0,"Crime Film, Drama Film, Comedy Drama",very big shot
1897,"Dana Carvey: Straight White Male, 60",2016,18+,53/100,1,0,0,0,movie,drama film,United States,English,9.0,tt6217368,53.0,16.0,9.0,0,Drama Film,"dana carvey: straight white male, 60"
1898,Wild Dog,2021,18+,53/100,1,0,0,0,movie,drama film,India,English,6.0,tt11503178,53.0,18.0,6.0,0,Drama Film,wild dog
1899,Dolly Parton's Christmas on the Square,2020,7+,53/100,1,0,0,0,movie,"musical film, Christmas film",United States,English,5.0,tt10627548,53.0,7.0,5.0,0,"Musical Film, Christmas Film",dolly parton's christmas on the square
1900,The Little Vampire 3D,2017,18+,53/100,1,0,0,0,movie,"adventure film, vampire film, film based on a novel","Germany, Netherlands, Denmark",German,5.0,tt4729560,53.0,16.0,5.0,0,"Adventure Film, Vampire Film, Film Based On A Novel",the little vampire 3d
1901,John Was Trying to Contact Aliens,2020,18+,53/100,1,0,0,0,movie,documentary film,United States,English,7.0,tt11733790,53.0,16.0,7.0,0,Documentary Film,john was trying to contact aliens
1902,Dilan 1991,2019,18+,53/100,1,0,0,0,movie,"drama film, romance film",Indonesia,Indonesian,10.0,tt9648942,53.0,16.0,10.0,0,"Drama Film, Romance Film",dilan 1991
1903,Made In China,2019,18+,53/100,1,0,0,0,movie,drama film,India,Hindi,9.0,tt8983180,53.0,16.0,9.0,0,Drama Film,made in china
1904,Ronnie Coleman: The King,2018,18+,53/100,1,0,0,0,movie,documentary film,United States,English,10.0,tt7217214,53.0,16.0,10.0,0,Documentary Film,ronnie coleman: the king
1905,All in My Family,2019,18+,53/100,1,0,0,0,movie,"documentary film, LGBT-related film",United States,English,10.0,tt9097148,53.0,16.0,10.0,0,"Documentary Film, Lgbt-Related Film",all in my family
1906,Chris D'Elia: Incorrigible,2015,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt4624852,53.0,18.0,7.0,0,Drama Film,chris d'elia: incorrigible
1907,Carmen Sandiego: To Steal or Not to Steal,2020,7+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,7.0,7.0,0,Drama Film,carmen sandiego: to steal or not to steal
1908,Seven Sundays,2017,7+,53/100,1,0,0,0,movie,"comedy film, drama film",Philippines,"Filipino, Tagalog",7.6,tt7502214,53.0,7.0,7.6,0,"Comedy Film, Drama Film",seven sundays
1909,Whitney Cummings: Can I Touch It?,2019,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,whitney cummings: can i touch it?
1910,Girlfriend's Day,2017,18+,53/100,1,0,0,0,movie,comedy drama,United States,English,7.0,tt2962984,53.0,18.0,7.0,0,Comedy Drama,girlfriend's day
1911,Funny Boy,2020,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt13345636,53.0,16.0,7.0,0,Drama Film,funny boy
1912,Seven in Heaven,2018,13+,53/100,1,0,0,0,movie,thriller film,United States,English,3.0,tt4269118,53.0,13.0,3.0,0,Thriller Film,seven in heaven
1913,Cracked Up: The Darrell Hammond Story,2019,18+,53/100,1,0,0,0,movie,documentary film,United States,English,10.0,tt5165880,53.0,18.0,10.0,0,Documentary Film,cracked up: the darrell hammond story
1914,Father Soldier Son,2020,18+,53/100,1,0,0,0,movie,documentary film,United States,English,10.0,tt12187586,53.0,18.0,10.0,0,Documentary Film,father soldier son
1915,NiNoKuni,2019,16+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,ninokuni
1916,CIA: Comrade In America,2017,18+,53/100,1,0,0,0,movie,adventure film,India,Malayalam,6.0,tt5925772,53.0,16.0,6.0,0,Adventure Film,cia: comrade in america
1917,Monty Python: Live at Aspen,1998,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,monty python: live at aspen
1918,Jo Koy: Comin’ In Hot,2019,18+,53/100,1,0,0,0,movie,stand-up comedy,United States,English,7.0,tt10377036,53.0,16.0,7.0,0,Stand-Up Comedy,jo koy: comin’ in hot
1919,Varane Avashyamund,2020,18+,53/100,1,0,0,0,movie,drama film,India,Malayalam,7.0,tt11531530,53.0,16.0,7.0,0,Drama Film,varane avashyamund
1920,Every Time I Die,2020,18+,53/100,1,0,0,0,movie,independent film,United States,English,5.0,tt6659936,53.0,16.0,5.0,0,Independent Film,every time i die
1921,Perdida,2018,18+,53/100,1,0,0,0,movie,drama film,Spain,Spanish,7.0,tt7841496,53.0,18.0,7.0,0,Drama Film,perdida
1922,Eeb Allay Ooo!,2020,18+,53/100,1,0,0,0,movie,drama film,India,Hindi,7.0,tt9343754,53.0,16.0,7.0,0,Drama Film,eeb allay ooo!
1923,Counterpunch,2017,18+,53/100,1,0,0,0,movie,documentary film,United States,English,6.0,tt7022034,53.0,16.0,6.0,0,Documentary Film,counterpunch
1924,Noblemen,2019,18+,53/100,1,0,0,0,movie,drama film,India,English,1.0,tt6514218,53.0,16.0,1.0,0,Drama Film,noblemen
1925,Battle Drone,2018,13+,53/100,1,0,0,0,movie,drama film,United States,English,5.0,tt2936390,53.0,13.0,5.0,0,Drama Film,battle drone
1926,Olmo and the Seagull,2015,18+,53/100,1,0,0,0,movie,documentary film,Portugal,Spanish,10.0,tt4160256,53.0,16.0,10.0,0,Documentary Film,olmo and the seagull
1927,"Colin Quinn: Red State, Blue State",2019,16+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,"colin quinn: red state, blue state"
1928,"Liar, Liar, Vampire",2015,all,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,"liar, liar, vampire"
1929,Hard Kill,2020,18+,53/100,1,0,0,0,movie,drama film,United States,English,1.0,tt11656172,53.0,18.0,1.0,0,Drama Film,hard kill
1930,Boss,2013,18+,53/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,53.0,16.0,7.0,0,Drama Film,boss
1931,One-Way to Tomorrow,2020,18+,53/100,1,0,0,0,movie,"romance film, comedy film, drama film",Turkey,Turkish,7.0,tt11988512,53.0,18.0,7.0,0,"Romance Film, Comedy Film, Drama Film",one-way to tomorrow
1932,Villain,2020,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,18.0,7.0,0,Drama Film,villain
1933,Bethany Hamilton: Unstoppable,2019,7+,52/100,1,0,0,0,movie,documentary film,United States,English,10.0,tt6435258,52.0,7.0,10.0,0,Documentary Film,bethany hamilton: unstoppable
1934,Axone,2019,18+,52/100,1,0,0,0,movie,drama film,India,Hindi,8.0,tt8747548,52.0,16.0,8.0,0,Drama Film,axone
1935,Bangkok Traffic Love Story,2009,7+,52/100,1,0,0,0,movie,comedy film,Thailand,Thai,6.0,tt1621642,52.0,7.0,6.0,0,Comedy Film,bangkok traffic love story
1936,Chris D'Elia: No Pain,2020,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,chris d'elia: no pain
1937,Michael,2011,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,michael
1938,Disciples of the 36th Chamber,1985,18+,52/100,1,0,0,0,movie,action film,Hong Kong,Cantonese,5.0,tt0089029,52.0,18.0,5.0,0,Action Film,disciples of the 36th chamber
1939,Midnight at the Magnolia,2020,all,52/100,1,0,0,0,movie,"comedy film, romance film",Canada,English,6.0,tt13318052,52.0,16.0,6.0,0,"Comedy Film, Romance Film",midnight at the magnolia
1940,Oh! Baby,2019,18+,52/100,1,0,0,0,movie,comedy drama,India,Telugu,9.0,tt9348296,52.0,16.0,9.0,0,Comedy Drama,oh! baby
1941,J.T. LeRoy,2019,18+,52/100,1,0,0,0,movie,"drama film, LGBT-related film, romance film","Canada, United States, United Kingdom",English,5.0,tt5460522,52.0,18.0,5.0,0,"Drama Film, Lgbt-Related Film, Romance Film",j.t. leroy
1942,26 Years,2012,18+,52/100,1,0,0,0,movie,"action film, thriller film",South Korea,Korean,3.0,tt2551894,52.0,16.0,3.0,0,"Action Film, Thriller Film",26 years
1943,A Very Country Christmas,2017,all,52/100,1,0,0,0,movie,family film,United States,English,6.0,tt7001906,52.0,16.0,6.0,0,Family Film,a very country christmas
1944,Walk. Ride. Rodeo.,2019,7+,52/100,1,0,0,0,movie,"comedy drama, biographical film, drama film",United States,English,7.0,tt5848416,52.0,7.0,7.0,0,"Comedy Drama, Biographical Film, Drama Film",walk. ride. rodeo.
1945,Under the Bombs,2007,16+,52/100,1,0,0,0,movie,drama film,France,Arabic,9.0,tt1094275,52.0,16.0,9.0,0,Drama Film,under the bombs
1946,In the Shadow of Iris,2016,18+,52/100,1,0,0,0,movie,"drama film, erotic thriller, crime film",France,French,7.0,tt5598110,52.0,18.0,7.0,0,"Drama Film, Erotic Thriller, Crime Film",in the shadow of iris
1947,Little Boxes,2017,18+,52/100,1,0,0,0,movie,drama film,Germany,English,5.7,tt26345195,52.0,16.0,5.7,0,Drama Film,little boxes
1948,Russell Howard: Recalibrate,2017,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,18.0,7.0,0,Drama Film,russell howard: recalibrate
1949,The Yinyang Master,2021,18+,52/100,1,0,0,0,movie,"action film, adventure film, drama film, fantasy film",People's Republic of China,Chinese,8.0,tt12151820,52.0,16.0,8.0,0,"Action Film, Adventure Film, Drama Film, Fantasy Film",the yinyang master
1950,Shine Your Eyes,2020,18+,52/100,1,0,0,0,movie,drama film,"Brazil, France","Portuguese, English, Igbo",6.0,tt8477336,52.0,16.0,6.0,0,Drama Film,shine your eyes
1951,Uppena,2021,18+,52/100,1,0,0,0,movie,action film,India,Telugu,8.0,tt9633480,52.0,16.0,8.0,0,Action Film,uppena
1952,ABCD 2,2015,7+,52/100,1,0,0,0,movie,musical film,India,Hindi,7.0,tt3679000,52.0,7.0,7.0,0,Musical Film,abcd 2
1953,ReMastered: Tricky Dick & The Man in Black,2018,18+,52/100,1,0,0,0,movie,"biographical film, documentary film",United States,English,10.0,tt9046556,52.0,16.0,10.0,0,"Biographical Film, Documentary Film",remastered: tricky dick & the man in black
1954,Yol Arkadaşım,2017,13+,52/100,1,0,0,0,movie,comedy film,Turkey,Turkish,10.0,tt7535792,52.0,13.0,10.0,0,Comedy Film,yol arkadaşım
1955,Manson Family Vacation,2015,18+,52/100,1,0,0,0,movie,comedy film,United States,English,7.0,tt3275216,52.0,16.0,7.0,0,Comedy Film,manson family vacation
1956,Barbie: Dolphin Magic,2017,all,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,barbie: dolphin magic
1957,The Boss Baby: Get That Baby!,2020,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,the boss baby: get that baby!
1958,Secret Obsession,2019,13+,52/100,1,0,0,0,movie,psychological thriller,United States,English,4.0,tt9419834,52.0,13.0,4.0,0,Psychological Thriller,secret obsession
1959,Naam Shabana,2017,18+,52/100,1,0,0,0,movie,action thriller,India,Hindi,6.0,tt6170954,52.0,16.0,6.0,0,Action Thriller,naam shabana
1960,Bill Nye: Science Guy,2017,18+,52/100,1,0,0,0,movie,documentary film,United States,English,6.8,tt4853154,52.0,16.0,6.8,0,Documentary Film,bill nye: science guy
1961,Murder to Mercy: The Cyntoia Brown Story,2020,18+,52/100,1,0,0,0,movie,documentary film,United States,English,4.0,tt9050898,52.0,16.0,4.0,0,Documentary Film,murder to mercy: the cyntoia brown story
1962,Road Trip: Beer Pong,2009,18+,52/100,1,0,0,0,movie,comedy film,United States,English,5.0,tt1319733,52.0,18.0,5.0,0,Comedy Film,road trip: beer pong
1963,Carnaval,2021,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,carnaval
1964,Everything About Her,2016,7+,52/100,1,0,0,0,movie,comedy drama,Philippines,English,10.0,tt3860092,52.0,7.0,10.0,0,Comedy Drama,everything about her
1965,Rattlesnake,2019,18+,52/100,1,0,0,0,movie,drama film,United States,English,5.0,tt9257484,52.0,16.0,5.0,0,Drama Film,rattlesnake
1966,The Hard Way,2019,18+,52/100,1,0,0,0,movie,"crime film, buddy film, comedy film, action film",United States,English,7.0,tt0102004,52.0,16.0,7.0,0,"Crime Film, Buddy Film, Comedy Film, Action Film",the hard way
1967,Sara's Notebook,2018,18+,52/100,1,0,0,0,movie,thriller film,Spain,"Spanish, Swahili",7.0,tt6599742,52.0,18.0,7.0,0,Thriller Film,sara's notebook
1968,Jeff Dunham: Relative Disaster,2017,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,18.0,7.0,0,Drama Film,jeff dunham: relative disaster
1969,Kandasamys The Wedding,2019,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,kandasamys the wedding
1970,Day of the Dead: Bloodline,2017,18+,52/100,1,0,0,0,movie,"horror film, action film","United States, Bulgaria",English,3.5,tt3053228,52.0,18.0,3.5,0,"Horror Film, Action Film",day of the dead: bloodline
1971,The Ryan White Story,1989,18+,52/100,1,0,0,0,movie,"biographical film, drama film",United States,English,1.0,tt0098237,52.0,16.0,1.0,0,"Biographical Film, Drama Film",the ryan white story
1972,Thambi,2019,18+,52/100,1,0,0,0,movie,drama film,India,Tamil,7.0,tt10468636,52.0,16.0,7.0,0,Drama Film,thambi
1973,You Get Me,2017,18+,52/100,1,0,0,0,movie,thriller film,United States,English,4.0,tt5539054,52.0,18.0,4.0,0,Thriller Film,you get me
1974,Carbone,2017,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,carbone
1975,Love Wedding Repeat,2020,18+,52/100,1,0,0,0,movie,"romantic comedy, comedy film, romance film",United Kingdom,English,6.0,tt5096470,52.0,18.0,6.0,0,"Romantic Comedy, Comedy Film, Romance Film",love wedding repeat
1976,Tom Papa: Live in New York City,2011,18+,52/100,1,0,1,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,tom papa: live in new york city
1977,The Drowning,2016,18+,52/100,1,0,0,0,movie,"drama film, thriller film","United States, Hong Kong",English,4.5,tt4653586,52.0,16.0,4.5,0,"Drama Film, Thriller Film",the drowning
1978,Sturgill Simpson Presents Sound & Fury,2019,18+,52/100,1,0,0,0,movie,"anime film, musical film",United States,English,8.0,tt10682000,52.0,16.0,8.0,0,"Anime Film, Musical Film",sturgill simpson presents sound & fury
1979,Zoot Suit,1981,18+,52/100,1,0,0,0,movie,"musical film, drama film",United States,English,10.0,tt0083365,52.0,18.0,10.0,0,"Musical Film, Drama Film",zoot suit
1980,Out Of The Clear Blue Sky,2019,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,out of the clear blue sky
1981,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2017,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,"norm macdonald: hitler's dog, gossip & trickery"
1982,Rampage: President Down,2016,18+,52/100,1,0,0,0,movie,action thriller,Canada,English,4.7,tt4146622,52.0,16.0,4.7,0,Action Thriller,rampage: president down
1983,Arlo the Alligator Boy,2021,7+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,7.0,7.0,0,Drama Film,arlo the alligator boy
1984,Eerie,2018,18+,52/100,1,0,0,0,movie,ghost film,Philippines,English,5.0,tt8723216,52.0,16.0,5.0,0,Ghost Film,eerie
1985,Woody Woodpecker,2017,7+,52/100,1,0,0,0,movie,comedy film,United States,English,4.0,tt2114504,52.0,7.0,4.0,0,Comedy Film,woody woodpecker
1986,Clair Obscur,2016,18+,52/100,1,0,0,0,movie,drama film,"Turkey, Germany, Poland",Turkish,7.0,tt4373956,52.0,16.0,7.0,0,Drama Film,clair obscur
1987,Cities of Last Things,2018,18+,52/100,1,0,0,0,movie,drama film,"Taiwan, People's Republic of China, France","Standard Chinese, English, Standard Taiwanese Mandarin",8.0,tt4397342,52.0,18.0,8.0,0,Drama Film,cities of last things
1988,Vir Das: For India,2020,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,18.0,7.0,0,Drama Film,vir das: for india
1989,Ride or Die,2021,18+,52/100,1,0,0,0,movie,"thriller film, romance film, drama film",Japan,Japanese,9.0,tt14164234,52.0,18.0,9.0,0,"Thriller Film, Romance Film, Drama Film",ride or die
1990,Fitoor,2016,18+,52/100,1,0,0,0,movie,film based on a novel,India,Hindi,6.0,tt4399594,52.0,16.0,6.0,0,Film Based On A Novel,fitoor
1991,The Con Is On,2018,18+,52/100,1,0,0,0,movie,heist film,"United States, United Kingdom",English,3.0,tt4685806,52.0,18.0,3.0,0,Heist Film,the con is on
1992,I'll Sleep When I'm Dead,2016,18+,52/100,1,0,0,0,movie,documentary film,United States,English,10.0,tt4679136,52.0,16.0,10.0,0,Documentary Film,i'll sleep when i'm dead
1993,Super Me,2021,18+,52/100,1,0,0,0,movie,drama film,People's Republic of China,Putonghua,9.0,tt10097544,52.0,16.0,9.0,0,Drama Film,super me
1994,How to Be Really Bad,2018,18+,52/100,1,0,0,0,movie,comedy film,Germany,German,8.0,tt5571754,52.0,16.0,8.0,0,Comedy Film,how to be really bad
1995,Alexandria… Why?,1979,18+,52/100,1,0,0,0,movie,"drama film, autobiography",Egypt,Egyptian Arabic,7.3,tt0077751,52.0,16.0,7.3,0,"Drama Film, Autobiography",alexandria… why?
1996,Kara Bela,2015,13+,52/100,1,0,0,0,movie,comedy film,Turkey,Turkish,9.0,tt4974684,52.0,13.0,9.0,0,Comedy Film,kara bela
1997,The Zoya Factor,2019,18+,52/100,1,0,0,0,movie,romantic comedy,India,Hindi,1.0,tt8304386,52.0,16.0,1.0,0,Romantic Comedy,the zoya factor
1998,Generation Iron 2,2017,13+,52/100,1,0,0,0,movie,documentary film,United States,English,1.0,tt6263642,52.0,13.0,1.0,0,Documentary Film,generation iron 2
1999,Panipat,2019,18+,52/100,1,0,0,0,movie,historical film,India,Hindi,4.0,tt8176040,52.0,16.0,4.0,0,Historical Film,panipat
2000,Abzurdah,2015,13+,52/100,1,0,0,0,movie,"biographical film, drama film",Argentina,Spanish,6.0,tt4413338,52.0,13.0,6.0,0,"Biographical Film, Drama Film",abzurdah
2001,A New York Christmas Wedding,2020,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,18.0,7.0,0,Drama Film,a new york christmas wedding
2002,Mosquita y Mari,2012,18+,52/100,1,1,0,0,movie,"coming-of-age fiction, LGBT-related film, drama film",United States,English,8.0,tt1978480,52.0,16.0,8.0,0,"Coming-Of-Age Fiction, Lgbt-Related Film, Drama Film",mosquita y mari
2003,The Beginning of Life,2016,all,52/100,1,0,0,0,movie,"documentary film, family film",Brazil,English,10.0,tt5140248,52.0,16.0,10.0,0,"Documentary Film, Family Film",the beginning of life
2004,We Need to Talk,2016,18+,52/100,1,0,0,0,movie,romantic comedy,Spain,Spanish,8.0,tt4699534,52.0,16.0,8.0,0,Romantic Comedy,we need to talk
2005,Pizza,2014,18+,52/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,52.0,16.0,7.0,0,Drama Film,pizza
2006,She Made Me a Criminal,2006,18+,52/100,1,0,0,0,movie,comedy film,Egypt,Egyptian Arabic,6.5,tt1020956,52.0,16.0,6.5,0,Comedy Film,she made me a criminal
2007,The Unknown Saint,2020,18+,52/100,1,0,0,0,movie,"drama film, comedy film, black comedy film","France, Morocco, Qatar",Moroccan Arabic,8.0,tt10077998,52.0,16.0,8.0,0,"Drama Film, Comedy Film, Black Comedy Film",the unknown saint
2008,Pottersville,2017,13+,52/100,1,0,0,0,movie,Christmas film,United States,English,8.0,tt3672120,52.0,13.0,8.0,0,Christmas Film,pottersville
2009,Barcelona: A Love Untold,2016,7+,52/100,1,0,0,0,movie,drama film,Philippines,English,8.0,tt5755912,52.0,7.0,8.0,0,Drama Film,barcelona: a love untold
